,Const,Road,Sidewalk,Building,Wall,Fence,Pole,Traffic light,Traffic sign,Vegetation,Terrain,Sky,Person,Rider,Car,Truck,Bus,Train,Motorcycle,Bicycle,Others
0,1.0,1.5921447789994572,-0.39967086131099466,-0.6918064299985798,-0.25666767085165565,-0.6699627255561386,0.06774396651630682,-0.3412013253104144,0.019359611540106635,-0.38500326905230603,-0.5258964406271862,1.1851819579084248,-0.03135512337872763,0.5528603595791424,-0.6275694969994612,-0.20988793600017694,-0.1272303988300443,-0.0426014322842305,-0.04778665667139207,-0.08996002429093812,-0.5695748606198563
1,1.0,0.052585830120922335,1.5862899097683212,-0.1754514134107164,-0.25666767085165565,-0.35946112429335475,-0.38969991692341494,-0.37921906307948827,-0.545105151816517,0.18633853077393722,-0.38724127645348666,-0.09695008472646784,1.038934443245709,-0.14661943201998806,-0.5988207419077407,0.14100409428145336,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,0.6677256732146828,-0.031162317427757304
2,1.0,-0.706355338663873,-0.4076894753679479,1.4533075409052483,-0.25666767085165565,-0.2029227447675607,-0.5109006587677839,-0.4085470322156482,-0.4400664448046399,0.07014245300471908,-0.27960790691640497,-1.2036566246393026,0.6469154179363082,-0.14661943201998806,0.9195685432027161,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.5946780614733288
3,1.0,0.783558108947839,-0.9434786873552102,0.16685400747819254,-0.25666767085165565,-0.597858307469481,-0.6255352204670934,-0.4107194743738823,-0.4623043692621142,0.6467477219500961,-0.3224632432761103,-0.43244263228587804,-0.17302536519847325,-0.14661943201998806,-0.11071238207709891,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.5843414493571947
4,1.0,1.4790858089633256,-0.9054163050459105,-1.3065964251322173,-0.20561421255866671,0.05623177088805628,-0.5067967961771165,-0.4052883689782971,-0.10365869396930381,-0.5877911868869261,-0.5571068176020215,2.084549316377737,-0.315665951140252,-0.14661943201998806,-0.25404250638330017,-0.08234657768024997,0.16078859493699513,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.3543234324871524
5,1.0,-0.1792471153297304,0.6650865338228754,-0.666818331340714,-0.17137836405630535,-0.7497926170092237,-0.04114518755606854,-0.41180569545299933,-0.15712434213301185,1.4841279039623994,0.668112633790742,-0.817650707478572,-0.22979049633857285,-0.14661943201998806,-0.24312211595997052,-0.2057489736508523,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.1688323601173827
6,1.0,1.6734248554921158,-0.7755564124612432,-0.9136644857479947,-0.25666767085165565,-0.5091324163823275,-0.5965345914930473,-0.35314975718067954,-0.39417115390305885,-0.5800625486866798,-0.4854455290797416,1.6801182362676597,-0.25113806702372854,-0.14661943201998806,-0.47807597052251655,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.3182020846527458
7,1.0,-0.25746764348850476,0.952923537113992,-0.7135429227585377,-0.25666767085165565,-0.2926630919533351,-0.2950374864986834,0.5690519389896818,0.36854234025526555,0.5743694693793997,-0.4713018537135022,0.32171748800076283,-0.31663629526230497,-0.14661943201998806,0.1888951476053885,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,0.07049996657159355
8,1.0,-0.8220409020809818,-0.985446238848089,-0.043042079907401894,-0.25666767085165565,-0.7796020192918023,-0.9636934979380798,-0.39985726358271195,0.04869474593080126,-0.7849825046455051,-0.5921831325102953,1.4064584412310892,-0.24871220671860603,-0.14661943201998806,2.6868930918268004,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.7529077392510901
9,1.0,-1.5139895078190928,3.937253827206309,0.9113929312895835,-0.25666767085165565,-0.05926015418581018,-0.8963901514511359,-0.1543712997022624,0.0013800130425732976,-0.5946758933296739,-0.59406895589246,-0.15973027458635142,-0.2661784009155598,-0.14661943201998806,-0.5634122032623996,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.20148086288485584,-0.2709490006932692
